Name,Brand,Description,Category,Rating,Image_URL,Tags
BULLSTORM Ultrapods Black Bluetooth,BULLSTORM,BULLSTORM Ultrapods Black Bluetooth wireless earbuds with premium sound and deep bass.,Earbuds,3.4,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/0/r/u/exclusive-tws-t2-wireless-earbuds-with-1500mah-powerbank-asap-original-imahedb2jkmzgn2v.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
"Mivi Duopods I6, 55Hrs PT, HD Call, Fast Charging, 3D S...",Mivi,"Mivi Duopods I6, 55Hrs PT, HD Call, Fast Charging, 3D S... wireless earbuds with premium sound and deep bass.",Earbuds,3.9,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/s/s/w/-original-imah34qdujndwk47.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
"Noise Buds UNO, 40Hrs Playtime, Quad Mic with ENC, Prem...",Noise,"Noise Buds UNO, 40Hrs Playtime, Quad Mic with ENC, Prem... wireless earbuds with premium sound and deep bass.",Earbuds,4.1,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/5/t/f/-original-imah9dgfmz4zzpev.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
myxes Tws Ecouteur Headsets Earphones Wireless Earbuds ...,myxes,myxes Tws Ecouteur Headsets Earphones Wireless Earbuds ... wireless earbuds with premium sound and deep bass.,Earbuds,3.7,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/6/p/d/m19-tws-ecouteur-headsets-earphones-wireless-earbuds-for-mobile-original-imah96p5wa9megeg.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
"truke Buds Lite with 60H Playtime, Deep Bass, 13mm Spea...",truke,"truke Buds Lite with 60H Playtime, Deep Bass, 13mm Spea... wireless earbuds with premium sound and deep bass.",Earbuds,4.3,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/o/f/d/-original-imahgbn7hzywq3gm.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
"GOBOULT W35 with 48 Hrs Battery Life,4 Mic ENC, Wavy Sh...",GOBOULT,"GOBOULT W35 with 48 Hrs Battery Life,4 Mic ENC, Wavy Sh... wireless earbuds with premium sound and deep bass.",Earbuds,3.9,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/g/v/e/-original-imahej2rjfsksykm.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...",Noise,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX... wireless earbuds with premium sound and deep bass.",Earbuds,4,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/d/q/r/-original-imagp6skt77zsdjt.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
"PTron Bassbuds Vibe w/ 34 Hrs Playback,Clear Calls,13mm...",PTron,"PTron Bassbuds Vibe w/ 34 Hrs Playback,Clear Calls,13mm... wireless earbuds with premium sound and deep bass.",Earbuds,4.1,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/a/h/i/-original-imah9f97ygh2rtzx.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
Beats Solo Buds USB-C case with Fast Charge Bluetooth,Beats,Beats Solo Buds USB-C case with Fast Charge Bluetooth wireless earbuds with premium sound and deep bass.,Earbuds,3.9,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/c/z/3/-original-imah4znyggyrgxzg.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
NEXX ARHAM TRUE WIRLESS BLUETOOTH AIR_PODS WITH GOOD SO...,NEXX,NEXX ARHAM TRUE WIRLESS BLUETOOTH AIR_PODS WITH GOOD SO... wireless earbuds with premium sound and deep bass.,Earbuds,3.6,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/l/x/v/bluetooth-tws-wireless-air-pods-with-good-sound-quality-and-10-original-imah748gavweqqfu.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
"TRIGGR Rizz with 40H Playback, Spherical Design, 13mm D...",TRIGGR,"TRIGGR Rizz with 40H Playback, Spherical Design, 13mm D... wireless earbuds with premium sound and deep bass.",Earbuds,4,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/2/w/a/-original-imah8wvggektkfgz.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
"Number Navo Buds X1 w/ 50H Playtime,Dual Pairing,13mm S...",Number,"Number Navo Buds X1 w/ 50H Playtime,Dual Pairing,13mm S... wireless earbuds with premium sound and deep bass.",Earbuds,3.7,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/5/b/n/-original-imahfjrvv6kphzqn.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...",Noise,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX... wireless earbuds with premium sound and deep bass.",Earbuds,4,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/p/0/p/-original-imagp6skfbnypq5g.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
"HOPPUP S40 Earbuds with 13MM Drivers, 40H Playtime, Rag...",HOPPUP,"HOPPUP S40 Earbuds with 13MM Drivers, 40H Playtime, Rag... wireless earbuds with premium sound and deep bass.",Earbuds,4.1,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/7/j/4/airdoze-s40-earbuds-with-13mm-drivers-40h-playtime-rage-mode-enc-original-imagrzkxqwnxn9ac.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
OnePlus Nord Buds 2r in Ear Earbuds with Dual Mic & AI ...,OnePlus,OnePlus Nord Buds 2r in Ear Earbuds with Dual Mic & AI ... wireless earbuds with premium sound and deep bass.,Earbuds,4.4,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/m/n/o/e510a-oneplus-original-imahdum7q6jx57gf.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,3.9,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/q/y/i/-original-imah4gr9ynyg9aed.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,4,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/v/p/3/-original-imah8bfrrurageu2.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,3.5,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/b/e/u/earbuds-techio-original-imahfggh3cscdnck.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,3.6,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/j/4/y/black-earbuds-with-premium-quality-sound-hectic-original-imahdmngx2vamnkg.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,3.5,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/b/p/a/tws-airpod-black-earbud-riva-original-imahggtvpvc53wbx.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,4.2,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/g/j/a/-original-imahe5gm62hddzzg.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,4.4,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/7/n/o/-original-imahfsg7chmgrugu.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-headphone/8/h/9/bluetooth-yes-ancn76-tunewhirl-original-imahf4z4xfxajzsn.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
