Name,Brand,Description,Category,Rating,Image_URL,Tags
"Fire-Boltt Rise Bluetooth Calling 47mm (1.85), Metal Bo...",Fire-Boltt,"Fire-Boltt Rise Bluetooth Calling 47mm (1.85), Metal Bo...",Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/3/4/1/-original-imahe3khbq6adpsg.jpeg?q=70,"smart watch, flipkart, electronics"
"Noise Twist Go 1.39'' Display, Bluetooth Calling, Metal...",Noise,"Noise Twist Go 1.39'' Display, Bluetooth Calling, Metal...",Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/e/g/x/35-306-wrb-sw-twistgo-std-blk-blk-android-ios-noise-yes-original-imah889zcdzvzcuf.jpeg?q=70,"smart watch, flipkart, electronics"
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT...",GOBOULT,"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT...",Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/3/d/s/-original-imaheeb4cztkuhkn.jpeg?q=70,"smart watch, flipkart, electronics"
Fire-Boltt Talk 35.3mm (1.39) Bluetooth Calling with Sp...,Fire-Boltt,Fire-Boltt Talk 35.3mm (1.39) Bluetooth Calling with Sp...,Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/5/j/o/-original-imahcf2upqp5sdty.jpeg?q=70,"smart watch, flipkart, electronics"
"REDMI Watch Move 1.85 Premium AmoLED,14 Day Battery,Bes...",REDMI,"REDMI Watch Move 1.85 Premium AmoLED,14 Day Battery,Bes...",Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/a/e/t/-original-imahgesvxrpfhymk.jpeg?q=70,"smart watch, flipkart, electronics"
"REDMI Watch Move 1.85 Premium AmoLED,14 Day Battery,Bes...",REDMI,"REDMI Watch Move 1.85 Premium AmoLED,14 Day Battery,Bes...",Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/v/l/t/-original-imahgesvzew3eeen.jpeg?q=70,"smart watch, flipkart, electronics"
GameSir I8 Pink-A1 Full Screen Touch Watch Specially Ma...,GameSir,GameSir I8 Pink-A1 Full Screen Touch Watch Specially Ma...,Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/j/p/p/39-i8-pink-a1-69-android-ios-gamesir-yes-original-imaha3fwz2sfaxtt.jpeg?q=70,"smart watch, flipkart, electronics"
"GOBOULT Trail 2.01"" 3D Curved Display, Working Crown, H...",GOBOULT,"GOBOULT Trail 2.01"" 3D Curved Display, Working Crown, H...",Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/p/i/9/-original-imahf8mtbhgh24bm.jpeg?q=70,"smart watch, flipkart, electronics"
"GOBOULT Thrux 1.39''HD Screen, GPS Tracker, Working Cro...",GOBOULT,"GOBOULT Thrux 1.39''HD Screen, GPS Tracker, Working Cro...",Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/h/i/5/-original-imahexfzzmy6kfhf.jpeg?q=70,"smart watch, flipkart, electronics"
"GOBOULT Dire 1.38'' 2.5D Curved HD Display, 500Nits, 25...",GOBOULT,"GOBOULT Dire 1.38'' 2.5D Curved HD Display, 500Nits, 25...",Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/c/v/z/-original-imahejynggpfptaf.jpeg?q=70,"smart watch, flipkart, electronics"
